date,base_currency,quote_currency,exchange_rate,ecb_main_refinancing_rate,inflation_rate_yoy
2022-01-03,EUR,CHF,0.962122,3.404,1.99
2022-01-03,EUR,PLN,4.320954,3.4275,2.55
2022-01-03,EUR,USD,1.076791,3.4038,3.53
2022-01-03,EUR,NOK,11.548344,3.4269,3.53
2022-01-03,EUR,BGN,1.95996,3.474,1.22
2022-01-03,EUR,CZK,25.002328,3.5061,1.34
2022-01-03,EUR,GBP,0.854733,3.4402,3.72
2022-01-04,EUR,HUF,385.537793,3.4618,3.0
2022-01-04,EUR,SEK,11.299483,3.2888,3.47
2022-01-04,EUR,USD,1.084685,3.4395,3.99
2022-01-04,EUR,JPY,158.652236,3.4924,2.67
2022-01-04,EUR,DKK,7.499578,3.3725,1.15
2022-01-04,EUR,RON,4.974664,3.4489,2.95
2022-01-04,EUR,PLN,4.362998,3.1924,3.11
2022-01-04,EUR,CZK,25.04187,3.5706,2.57
2022-01-04,EUR,NOK,11.447638,3.3794,-0.18
2022-01-04,EUR,CHF,0.954874,3.439,1.8
2022-01-04,EUR,BGN,1.956456,3.3798,3.72
2022-01-04,EUR,GBP,0.85651,3.6165,1.63
2022-01-05,EUR,JPY,159.197397,3.4204,4.4
2022-01-05,EUR,HUF,384.65313,3.5637,2.1
2022-01-05,EUR,CZK,25.074094,3.4181,1.87
2022-01-05,EUR,GBP,0.860491,3.599,3.35
2022-01-05,EUR,RON,4.994634,3.3903,2.66
2022-01-05,EUR,USD,1.075814,3.5296,2.64
2022-01-05,EUR,SEK,11.239565,3.4802,3.17
2022-01-05,EUR,CHF,0.949486,3.4863,1.91
2022-01-05,EUR,PLN,4.316666,3.4355,1.54
2022-01-05,EUR,BGN,1.982056,3.5864,1.61
2022-01-05,EUR,NOK,11.543163,3.6901,3.07
2022-01-05,EUR,DKK,7.451324,3.3352,3.95
2022-01-06,EUR,CZK,25.114044,3.5609,3.75
2022-01-06,EUR,HUF,383.213619,3.3785,2.68
2022-01-06,EUR,CHF,0.951513,3.5594,3.09
2022-01-06,EUR,GBP,0.85958,3.4042,3.29
2022-01-06,EUR,PLN,4.330454,3.5429,3.05
2022-01-06,EUR,BGN,1.933411,3.427,2.94
2022-01-06,EUR,DKK,7.435691,3.6345,4.29
2022-01-06,EUR,JPY,158.767666,3.3831,2.15
2022-01-06,EUR,SEK,11.303728,3.4753,2.06
2022-01-06,EUR,NOK,11.451896,3.5381,2.91
2022-01-06,EUR,RON,4.99993,3.6657,1.3
2022-01-07,EUR,JPY,158.714192,3.6319,6.13
2022-01-07,EUR,HUF,383.707578,3.4531,0.22
2022-01-07,EUR,CZK,25.009622,3.4196,3.9
2022-01-07,EUR,USD,1.081807,3.6392,3.56
2022-01-07,EUR,SEK,11.127888,3.5605,3.17
2022-01-07,EUR,RON,4.98017,3.3184,2.0
2022-01-07,EUR,GBP,0.862312,3.4355,3.25
2022-01-07,EUR,BGN,1.958903,3.3854,0.74
2022-01-07,EUR,CHF,0.952308,3.5368,2.84
2022-01-10,EUR,PLN,4.361853,3.5534,1.11
2022-01-10,EUR,JPY,157.899108,3.2255,3.82
2022-01-10,EUR,GBP,0.859221,3.4588,3.68
