cik,company_name,sic_code,sic_description,filing_type,filing_date,state_of_incorporation,fiscal_year_end,total_assets_usd,total_revenue_usd,employee_count,ceo_name,headquarters_address,ein
8728329,"Hall, Rodriguez and Tran",6035,Savings Institutions,DEF 14A,2024-03-28,NJ,1231,14879335.0,,23141.0,Allen Aguilar,"Rotonda Scaramucci, 51, 28857, Santa Maria Maggiore (VB)",
8029640,Owen Inc,7372,Software,DEF 14A,2024-07-19,KS,0630,9508680854.0,15543591.0,35506.0,Augustin Prévost,"rue Étienne Bouvet, 38557 Sainte Monique-sur-Mer",
6871077,Bond PLC,6199,Finance Services,13F-HR,2026-02-19,SC,0331,93359002.0,286396790.0,11728.0,Jacques Richard,"08 Josh Fort, Port Kathleen, SN8R 9SZ",96-1279110
7556355,Kohl KGaA,6141,Personal Credit,S-1,2024-11-24,CT,0930,803346611.0,1012522007.0,45658.0,Primitiva Paz Patiño,"5, rue Bodin, 80475 Sainte Rémyboeuf",
9956794,Palmer-Davies,6311,Insurance,S-1,2025-04-06,DE,0630,96032201.0,122041624.0,40134.0,Amy Phelps,"Waltraut-Mülichen-Straße 7400, 50579 Helmstedt",55-2580427
6430328,Collins and Sons,6141,Personal Credit,S-1,2023-06-11,NJ,0630,309521093.0,,20238.0,Erica Acevedo,"Paseo de Lorena Yuste 984 Piso 4 , Almería, 36321",88-9509903
3726425,Reichmann KGaA,7372,Software,8-K,2025-10-01,ND,0930,882053493.0,6260870744.0,14698.0,Mathilde Ladeck,"Cañada Reina Arnaiz 51, La Coruña, 12043",87-5577306
1151539,"Brady, Long and Wood",6311,Insurance,S-1,2025-06-12,TX,0930,2360602523.0,57370075.0,8995.0,Eutropio Jaén-Blasco,"Klappring 1-2, 05562 Chemnitz",84-1377064
5498258,"Vaughn, Morgan and Oliver",6411,Insurance Agents,13F-HR,2024-11-05,CL,0331,9281730.0,938967147.0,9403.0,Marcel Klein,"Noackplatz 76/29, 03856 Mayen",89-7912309
6108877,Simpson-Bennett,6311,Insurance,10-K,2025-12-10,RI,0331,6781076067.0,361837847.0,37673.0,Horst-Dieter Scholz,"Studio 2, Donald Pine, East Brianville, SY63 0HY",89-7649771
1362281,Zichichi-Pagliaro Group,6411,Insurance Agents,DEF 14A,2024-05-12,MN,1231,937967459.0,2511448436.0,36307.0,,"27, boulevard Philippe, 25976 Moreno",86-8671957
9355565,Poerio-Zoppetti s.r.l.,6199,Finance Services,8-K,2024-06-18,SA,0930,545031963.0,15507531.0,44980.0,Océane-Nathalie Tessier,"11 Eileen Prairie, Jackfort, OX3 5GN",89-5768531
5627149,Thornton Inc,6311,Insurance,10-K,2024-10-19,PA,0630,608332235.0,1067727020.0,39913.0,Alexandre Lévêque Le Langlois,"Steckelweg 52/30, 01942 Jülich",74-6071231
7894655,Williams-Blankenship,6035,Savings Institutions,S-1,2025-04-13,LE,0630,229744279.0,20929538.0,,Maricruz Marta Gibert Rodriguez,"91, avenue Éléonore Roger, 58856 Munoz",46-8689594
6760669,Rush-Mcclain,6512,Real Estate,10-Q,2024-10-12,BN,0331,17708576770.0,27601825.0,48092.0,Erik Joyce,"77, avenue Alex Chauveau, 13237 Delmas-la-Forêt",84-9999882
2792105,Buchholz Seidel GmbH & Co. KG,6512,Real Estate,S-1,2025-09-22,OK,0930,,19102137.0,38341.0,Nico Pisaroni,"Piazza Storladi, 571, 96011, Brucoli (SR)",78-1468996
5865657,Harrison-Bell,6199,Finance Services,8-K,2024-08-01,SC,1231,,,39694.0,Lisa Wells-Howe,"58073 Ramirez Hills, Lewisview, AR 08736",31-9636401
1166308,Segebahn Nette GmbH,6311,Insurance,8-K,2024-01-22,CN,0630,5951091422.0,731592856.0,7800.0,Prof. Siegward Bruder B.Sc.,"646, chemin de Mercier, 12741 Devaux",14-3751906
3341109,Pruschke,6311,Insurance,S-1,2026-02-28,SR,1231,28753200.0,1768953860.0,26048.0,Kim Allen,"11474 Chambers Rue Apt. 700, Williamsborough, PA 83372",61-5863345
2026875,Murray-Weeks,6512,Real Estate,10-K,2024-11-08,MS,0630,41974419.0,25540360.0,,,"Rambla de Onofre Miranda 69, Teruel, 34055",44-9969792
7015793,Bender Pruschke Stiftung & Co. KG,6199,Finance Services,DEF 14A,2025-05-30,FE,1231,309585742.0,327260395.0,14562.0,Joseph Marques,"Contrada Bodoni, 7, 06069, Borghetto Di Tuoro (PG)",10-4186897
6534468,Ellison LLC,6020,Commercial Banking,S-1,2024-12-19,AG,0930,221188115.0,861107523.0,43746.0,Adrienne Guillet,"7, chemin Christophe Lefèvre, 69971 Buisson",79-4975549
8947817,"Bennett, Robinson and Nichols",7372,Software,8-K,2024-06-19,UD,1231,4107551028.0,53895452.0,36313.0,Brian Williams,"Acceso de Germán Catalán 20 Piso 3 , Asturias, 30656",54-7979221
1244425,Gonzalez Inc,6159,Federal-Sponsored Credit,10-Q,2025-11-19,PN,0331,447942865.0,4205226181.0,24334.0,Dorotea de Guardia,"153 Curry Route, South Samuel, IA 25814",11-1792611
4571098,Baird-Summers,6020,Commercial Banking,10-K,2026-04-02,LT,0930,638711470.0,63377706.0,47249.0,Modesto Ledesma-Costa,"11, rue de Henry, 90830 LopesVille",59-7766201
6970859,Garcia and Sons,6035,Savings Institutions,13F-HR,2025-05-24,VA,0630,71769516.0,83220422.0,1182.0,Ronald Griffin,"Flat 80, Robert Ranch, Aliceberg, W0 7GN",55-7499536
2628923,Krebs AG,6199,Finance Services,DEF 14A,2024-10-07,MB,0930,71831278.0,7939117.0,37099.0,Julie Cabezas Duran,"25925 Kristen Divide Apt. 334, Caldwellland, WY 79239",
8353032,Reyes-Webb,6159,Federal-Sponsored Credit,DEF 14A,2025-09-09,WV,0930,2326042935.0,179175029.0,28361.0,Swantje Kühnert,"708 Hughes Glen, Shanefort, B80 1RR",67-1868830
9050586,Banca Privada CJR S.Com.,6512,Real Estate,13F-HR,2023-06-05,MT,1231,,,42886.0,Mariana Heinz,"Viale Ariosto, 75 Appartamento 60, 15054, Caldirola (AL)",25-9905673
3717833,Johnson-Clark,6411,Insurance Agents,S-1,2025-11-19,PC,1231,191753814.0,5166145.0,2096.0,Teo Boix Arce,"Fiebiggasse 8, 26576 Wolfenbüttel",24-4423305
7247184,Junck GmbH & Co. KG,6311,Insurance,13F-HR,2023-09-14,WA,1231,,2771540659.0,3169.0,Tatiana Giannini,"8 Debra Junction, East Marilynmouth, DL7A 1PB",39-5553056
6083766,Knight-Dean,6199,Finance Services,8-K,2023-06-14,FM,0630,17811245102.0,531805793.0,39466.0,Guillaume Blanchet-Collin,"9, avenue Paulette Garcia, 14249 Chartier-sur-Aubert",86-1725880
9119299,Inmobiliaria SCH S.A.,6311,Insurance,8-K,2023-04-28,MC,0930,1953894228.0,,27702.0,Consuela Menéndez Zorrilla,"Paseo Lucila Mayoral 92 Piso 6 , Jaén, 06275",
7725470,Octavio Nuñez Pinto S.L.,6512,Real Estate,8-K,2026-01-16,SA,0630,433140712.0,2109316124.0,19768.0,Olga Bertrán,"Canale Tuzzolino, 320 Piano 4, 20156, Milano (MI)",14-7338932
3114701,Haase GbR,6141,Personal Credit,10-K,2024-04-27,MB,0930,7450430.0,98693633.0,22607.0,William Dunn,"Alameda de Telmo Morillo 43 Piso 6 , Cuenca, 16163",88-8318019
3297254,Taylor-Black,6411,Insurance Agents,8-K,2025-12-30,RO,0331,398474735.0,7569490.0,11732.0,David Ledoux,"5, boulevard Legrand, 57883 Besnard",
4033321,Weiß,6141,Personal Credit,10-K,22-Nov-2023,KS,1231,2872919876.0,1012523534.0,21793.0,Gianluigi Soffici,"0 Lawrence Cliff, South Joshuaton, GU9R 6BB",40-4614732
