country_code,country_name,year,gdp_current_usd,gdp_per_capita_usd,inflation_rate,unemployment_rate,governance_score,financial_inclusion_pct,corruption_perception_index,political_stability_index
DE,,2018,86820454877.0,542022918.3,7.97,3.49,1.431,,65.5,0.019
DE,,2019,83867111570.0,526631803.18,4.05,1.24,2.331,67.5,14.9,1.597
DE,,2020,85833991678.0,1943696995.14,2.58,9.64,1.646,74.5,17.1,-1.943
DE,,2021,87763430745.0,522490131.5,7.86,6.88,-0.653,23.6,50.1,1.5
DE,,2022,90589601226.0,964025927.33,7.17,,0.079,34.9,34.2,-1.149
DE,,2023,89828739518.0,495259703.34,4.37,10.51,2.365,64.6,44.3,-1.208
DE,Cameroon,2024,,512731543.39,3.45,10.7,0.555,91.6,69.7,2.104
DE,,2025,103487547858.0,2321726233.67,5.36,1.24,-0.195,73.5,69.2,1.372
FR,,2018,342202416811.0,1765828886.77,12.04,1.41,1.032,51.5,66.5,-0.578
FR,,2019,350569464934.0,2830892646.11,2.99,11.29,-1.306,29.3,13.2,2.902
FR,,2020,338675330247.0,1242435226.75,6.58,5.16,-1.515,76.2,79.5,-0.14
FR,,2021,357185678075.0,1743091796.18,3.75,13.76,-1.473,71.2,76.3,2.564
FR,,2022,353863604351.0,1787827958.84,3.26,2.54,2.012,33.5,31.4,0.995
FR,,2023,354666774882.0,1341118808.8,3.92,8.64,-1.119,29.1,82.3,-1.826
FR,,2024,356293434654.0,7117880011.63,0.52,1.09,-2.146,70.1,72.1,2.742
FR,,2025,,2957642875.4,3.37,9.2,-0.143,46.0,76.1,2.075
IT,,2018,4082479612.0,18181551.43,4.06,6.5,-0.031,55.6,78.1,-1.105
IT,Spanien,2019,4221481721.0,22472565.37,4.62,8.44,-1.925,36.8,75.6,2.458
IT,Kuba,2020,4400884240.0,19107293.49,0.71,7.65,-2.31,25.7,51.5,-2.763
IT,,2021,,19585496.37,-2.72,3.31,2.307,48.1,28.4,2.51
IT,,2022,4747826272.0,22634728.95,4.72,1.92,-1.703,68.8,16.0,-0.891
IT,,2023,4727298719.0,21848925.2,-0.41,0.67,0.971,69.8,16.4,0.43
IT,,2024,4856657926.0,21433059.92,4.74,1.44,-1.103,97.9,59.2,0.853
IT,,2025,4875791048.0,21966607.75,16.86,4.09,-0.015,60.6,75.6,2.37
ES,,2018,92386694452.0,6447186584.21,9.62,5.28,0.755,21.4,69.4,-1.979
ES,,2019,92893841582.0,4616474111.9,6.96,5.77,1.54,15.8,72.2,0.675
ES,,2020,95808259637.0,491407887.26,1.07,,0.317,38.3,33.6,-1.662
ES,,2021,95993483915.0,581158734.91,-0.31,3.47,-1.538,30.2,88.6,-1.245
ES,,2022,99513722928.0,475362402.28,-0.45,9.25,0.457,92.5,67.3,2.698
ES,,2023,101614339257.0,361205233.12,1.06,0.74,1.82,49.0,59.4,2.908
ES,,2024,109133375790.0,886909831.11,2.17,,0.01,95.6,30.6,0.91
ES,,2025,115586844559.0,2070273409.08,6.7,0.35,2.459,43.5,26.6,2.651
NL,,2018,6114259794.0,21125479.93,7.75,0.5,-1.958,25.0,13.8,1.499
NL,,2019,6377142747.0,39141380.86,-0.84,12.55,-0.233,15.3,54.4,-2.644
NL,,2020,6678157363.0,31912968.26,6.32,8.94,0.197,98.2,59.4,2.26
NL,,2021,6568425360.0,23197059.73,2.0,7.79,-0.221,76.0,45.4,-0.208
NL,,2022,6784568927.0,255887104.06,2.64,,1.657,89.7,15.8,2.493
NL,,2023,6871633208.0,46785225.94,-4.79,6.0,-2.454,72.0,45.0,-0.69
NL,,2024,6782000588.0,29783979.43,6.45,2.59,2.278,,73.4,0.766
NL,,2025,6990532292.0,46228630.41,5.46,3.13,-1.058,77.3,71.4,2.267
BE,,2018,88343458221.0,386248565.31,3.46,,2.181,86.1,79.0,2.421
BE,,2019,,595680057.7,0.51,2.79,-0.466,22.0,55.0,-0.16
BE,,2020,90027685658.0,2076785977.66,2.23,8.23,2.056,67.2,20.1,2.602
BE,,2021,95327698623.0,454912473.85,-2.09,3.95,-1.685,25.2,31.5,1.456
BE,,2022,93965658555.0,2161152530.44,4.87,9.02,1.245,61.6,21.2,-1.6
BE,,2023,97629210595.0,365236102.24,11.73,0.72,-2.349,96.6,57.5,0.695
BE,,2024,96920445346.0,375596640.95,1.59,4.72,1.277,84.2,70.1,2.747
BE,,2025,97830084905.0,1118798553.26,3.01,13.16,0.773,61.3,32.7,-0.862
AT,,2018,539681514161.0,2620289915.67,-0.66,1.05,-0.129,55.8,50.2,2.341
AT,,2019,,7361124255.57,1.18,6.14,2.186,87.7,73.1,-0.905
AT,,2020,576544843826.0,27584177770.57,7.1,5.7,0.871,49.2,38.9,-0.494
AT,,2021,596107372352.0,2347059255.19,4.36,2.09,-1.909,29.5,12.2,1.805
AT,,2022,610322129554.0,3978779665.19,3.69,5.2,1.756,40.1,84.3,-2.579
AT,,2023,626882187208.0,14738229757.54,1.56,1.65,-2.288,94.5,20.8,1.177
AT,,2024,633166863684.0,6319635103.66,-4.46,8.6,-0.052,96.3,43.2,-0.609
AT,,2025,649481261871.0,4938849063.27,-1.58,14.45,-0.003,48.0,30.3,0.887
PT,,2018,2184558649.0,646959386.96,10.14,7.25,0.264,38.8,79.4,-0.832
PT,,2019,2259846339.0,,5.27,2.45,-0.7,82.1,42.4,-2.61
PT,,2020,2264436152.0,14389417.93,3.77,1.88,1.379,41.4,31.8,1.155
PT,,2021,2393533696.0,28656569.55,2.28,3.52,-0.36,92.2,83.0,-0.019
PT,,2022,2387095659.0,15897514.59,-4.81,1.42,2.204,67.7,12.8,-1.093
PT,,2023,2506023890.0,,7.12,12.17,1.448,51.5,17.0,-0.212
PT,,2024,2636140576.0,10669134.39,5.99,7.98,-2.107,,33.7,-0.167
PT,,2025,2651333709.0,11029011.03,3.2,5.57,-0.285,66.1,89.3,0.857
IE,,2018,57399734836.0,1498270385.95,-4.39,2.8,1.584,67.4,29.7,-2.535
IE,,2019,58242330327.0,382239889.07,6.05,12.22,0.578,84.4,88.9,-1.776
IE,,2020,60009823904.0,919217457.72,7.14,9.92,0.919,55.2,11.3,-2.018
IE,,2021,,1240802772.85,5.44,8.76,0.219,64.8,76.1,2.866
IE,,2022,63694927847.0,221923907.12,6.28,6.38,1.594,64.0,65.9,0.163
IE,,2023,65808619718.0,263967150.32,2.75,2.28,0.85,17.8,64.7,-0.491
IE,,2024,67888446779.0,2574660482.48,4.19,9.87,-2.034,,20.2,2.975
IE,,2025,69694957596.0,264468635.92,-0.13,3.22,0.973,52.4,73.1,-0.381
FI,,2018,844800805166.0,2914422528.67,1.16,12.01,-2.09,96.3,62.3,1.023
FI,,2019,852393438753.0,8608590230.82,2.16,9.78,2.458,,51.5,2.484
FI,,2020,853995461204.0,16886380830.21,3.15,9.57,-0.765,68.7,49.6,0.701
