step,type,amount,name_orig,old_balance_orig,new_balance_orig,name_dest,old_balance_dest,new_balance_dest,is_fraud,is_flagged_fraud
570,PAYMENT,1189.14,C540223841,287828.52,286639.38,M958851130,50763.36,51952.5,0,0
295,PAYMENT,5474.48,C886799247,93409.83,87935.35,M775177517,6423.14,11897.62,0,0
564,CASH_OUT,7334.63,C139097790,2952.26,0.0,C288212100,8020.0,15354.63,0,0
657,CASH_IN,366.21,C647543249,121637.85,121271.64,C823846592,8526.63,8892.84,0,0
625,TRANSFER,8579.4,C339737188,861069.1,852489.7,C124237378,4059.18,12638.58,0,0
228,PAYMENT,2922.05,C911758204,667824.83,664902.78,M469746080,3422.14,6344.19,0,0
573,PAYMENT,960.66,C789852717,8320.33,7359.67,M862752355,14657.19,15617.85,0,0
690,CASH_IN,567.33,C344109289,57503.69,56936.36,C598923960,244166.95,244734.28,0,0
600,TRANSFER,1413.55,C930119369,2755.01,1341.46,C223919142,49377.22,50790.77,0,0
100,CASH_OUT,745.63,C338283309,807.56,61.93,C984663831,601.8,1347.43,0,0
743,TRANSFER,2639.32,C871724641,17644.05,15004.73,C577420812,1530.14,4169.46,0,0
246,DEBIT,728.47,C982636511,1948.01,1219.54,C873627324,23791.43,24519.9,0,0
611,PAYMENT,250.56,C718162780,7116.69,6866.13,M114754057,4376.28,4626.84,0,0
340,DEBIT,1838.79,C693295614,23584.02,21745.23,C446993509,1812.77,3651.56,0,0
505,DEBIT,25012.98,C942079705,1188.81,0.0,C499519470,53479.26,78492.24,0,0
586,TRANSFER,6995.36,C428630554,1107.26,0.0,C849335149,199.37,7194.73,0,0
558,CASH_IN,24285.9,C915571858,22283.21,0.0,C398776562,42902.22,67188.12,0,0
590,CASH_OUT,23349.0,C890886854,6004.23,0.0,C100711561,20596.41,43945.41,0,0
618,PAYMENT,1666.94,C561628909,89887.99,88221.05,M708208946,14680.69,16347.63,0,0
707,CASH_IN,436.99,C420015135,53958.03,53521.04,C485780517,175732.85,176169.84,0,0
533,CASH_OUT,212.1,C752552516,48864.4,48652.3,C960070031,806.42,1018.52,0,0
440,TRANSFER,1191.52,C115862045,1756288.44,1755096.92,C505082191,9103.11,10294.63,0,0
50,CASH_IN,3391.0,C517156536,213865.73,210474.73,C456009263,2582.78,5973.78,0,0
